speech_id,year,sense,count,n
490100421,1886,newspaper,0,10
490106360,1886,ship,9,10
490106360,1886,observe,0,10
490106360,1886,newspaper,1,10
490107073,1886,ship,10,10
490107073,1886,observe,0,10
490107073,1886,newspaper,0,10
490107125,1886,ship,10,10
490107125,1886,observe,0,10
490107125,1886,newspaper,0,10
490107139,1886,ship,10,10
490107139,1886,observe,0,10
490107139,1886,newspaper,0,10
490107180,1886,ship,10,10
490107180,1886,observe,0,10
490107180,1886,newspaper,0,10
490107194,1886,ship,10,10
490107194,1886,observe,0,10
490107194,1886,newspaper,0,10
490107235,1886,ship,24,29
490107235,1886,observe,3,29
490107235,1886,newspaper,1,29
490107239,1886,ship,17,18
490107239,1886,observe,1,18
490107239,1886,newspaper,0,18
490115414,1886,ship,7,10
490115414,1886,observe,0,10
490115414,1886,newspaper,3,10
490125856,1887,ship,26,29
490125856,1887,observe,1,29
490125856,1887,newspaper,1,29
490141101,1887,ship,9,10
490141101,1887,observe,0,10
490141101,1887,newspaper,0,10
490141450,1887,ship,22,30
490141450,1887,observe,3,30
490141450,1887,newspaper,0,30
490141460,1887,ship,10,10
490141460,1887,observe,0,10
490141460,1887,newspaper,0,10
490144878,1887,ship,7,10
490144878,1887,observe,0,10
490144878,1887,newspaper,2,10
490153171,1887,ship,17,19
490153171,1887,observe,0,19
490153171,1887,newspaper,2,19
490157272,1887,ship,18,19
490157272,1887,observe,1,19
490157272,1887,newspaper,0,19
500003555,1888,ship,1,19
500003555,1888,observe,0,19
500003555,1888,newspaper,18,19
500028834,1888,ship,6,10
500028834,1888,observe,2,10
500028834,1888,newspaper,2,10
500029682,1888,ship,2,10
500029682,1888,observe,2,10
500029682,1888,newspaper,6,10
500039389,1888,ship,9,10
500039389,1888,observe,0,10
500039389,1888,newspaper,0,10
500077962,1888,ship,23,29
500077962,1888,observe,2,29
500077962,1888,newspaper,3,29
500086224,1888,ship,9,9
500086224,1888,observe,0,9
500086224,1888,newspaper,0,9
500098623,1888,ship,10,10
500098623,1888,observe,0,10
500098623,1888,newspaper,0,10
500110461,1888,ship,18,19
500110461,1888,observe,0,19
500110461,1888,newspaper,1,19
500163561,1889,ship,10,10
500163561,1889,observe,0,10
500163561,1889,newspaper,0,10
500163602,1889,ship,20,20
500163602,1889,observe,0,20
500163602,1889,newspaper,0,20
500163673,1889,ship,18,20
500163673,1889,observe,1,20
500163673,1889,newspaper,1,20
500169022,1889,ship,10,10
500169022,1889,observe,0,10
500169022,1889,newspaper,0,10
500169033,1889,ship,29,30
500169033,1889,observe,0,30
500169033,1889,newspaper,1,30
500169037,1889,ship,18,20
500169037,1889,observe,0,20
500169037,1889,newspaper,2,20
500169068,1889,ship,10,10
500169068,1889,observe,0,10
500169068,1889,newspaper,0,10
500169489,1889,ship,9,10
500169489,1889,observe,0,10
500169489,1889,newspaper,1,10
500169490,1889,ship,15,19
500169490,1889,observe,2,19
500169490,1889,newspaper,2,19
500169491,1889,ship,10,10
500169491,1889,observe,0,10
500169491,1889,newspaper,0,10
500169507,1889,ship,18,20
500169507,1889,observe,0,20
500169507,1889,newspaper,2,20
500181741,1889,ship,10,10
500181741,1889,observe,0,10
500181741,1889,newspaper,0,10
500185749,1889,ship,4,10
500185749,1889,observe,2,10
500185749,1889,newspaper,4,10
500185757,1889,ship,10,10
500185757,1889,observe,0,10
500185757,1889,newspaper,0,10
510040934,1890,ship,28,48
510040934,1890,observe,2,48
510040934,1890,newspaper,9,48
510040950,1890,ship,28,28
510040950,1890,observe,0,28
510040950,1890,newspaper,0,28
510041050,1890,ship,10,10
510041050,1890,observe,0,10
510041050,1890,newspaper,0,10
510041088,1890,ship,10,10
510041088,1890,observe,0,10
510041088,1890,newspaper,0,10
510042097,1890,ship,8,10
510042097,1890,observe,0,10
510042097,1890,newspaper,2,10
510042107,1890,ship,17,18
510042107,1890,observe,0,18
510042107,1890,newspaper,1,18
510042212,1890,ship,9,10
510042212,1890,observe,1,10
510042212,1890,newspaper,0,10
510042216,1890,ship,10,10
510042216,1890,observe,0,10
510042216,1890,newspaper,0,10
510042336,1890,ship,9,10
