"","language","measure","uni_lemma","age","num_true","num_false","prop","lexical_class","category","definition","words","num_phons","MLU","frequency","valence","arousal","iconicity","babiness","concreteness"
"3086","Spanish (Mexican)","produces","sky",24,40,37,0.519480519480519,"nouns","outside","cielo","cielo",5,6.57620817844286,-8.06721990500449,7.32,2.74,11.3888888888889,2.416666667,4.45
"3087","Spanish (Mexican)","produces","sleep",24,50,27,0.649350649350649,"verbs","action_words","dormir(se)","dormir(se)",7,NA,NA,7.22,3.6,16.2285714285714,7.727272727,4.44
"3088","Spanish (Mexican)","produces","slide (object)",24,26,51,0.337662337662338,"nouns","outside","resbaladilla","resbaladilla",11,4.96551724137931,-10.2644444823407,5.71,3.3,NA,NA,4.48
"3089","Spanish (Mexican)","produces","snow",24,14,63,0.181818181818182,"nouns","outside","nieve","nieve",5,7.12280701754715,-7.54095847310866,6.78,4.57,16.5526315789474,1.444444444,4.85
"3090","Spanish (Mexican)","produces","soap",24,57,20,0.74025974025974,"nouns","household","jabón","jabón",5,7.99999999999833,-9.09093088549948,7.1,2.62,12.4736842105263,4.9,4.93
"3091","Spanish (Mexican)","produces","soda",24,58,19,0.753246753246753,"nouns","food_drink","soda/refresco","soda/refresco",6,NA,-11.8738823947748,5.47,4.77,11.075,1.2,4.97
"3092","Spanish (Mexican)","produces","soft",24,10,67,0.12987012987013,"adjectives","descriptive_words","suave","suave",5,4.83333333333,-9.77382156589224,7.13,3.04,13.5238095238095,7.4375,3.88
"3093","Spanish (Mexican)","produces","soup",24,63,14,0.818181818181818,"nouns","food_drink","sopa","sopa",4,6.36612021857836,-8.45070610639388,7.05,4.24,15.3636363636364,2.636363636,4.72
"3094","Spanish (Mexican)","produces","spider",24,48,29,0.623376623376623,"nouns","animals","araña","araña",5,6.3017241379306,-8.21460341043716,3.35,6.91,NA,NA,4.97
"3095","Spanish (Mexican)","produces","spoon",24,57,20,0.74025974025974,"nouns","household","cuchara","cuchara",6,5.85492227979658,-8.39778370493953,5.9,3.79,12.2903225806452,6.9,4.96
"3096","Spanish (Mexican)","produces","squirrel",24,20,57,0.25974025974026,"nouns","animals","ardilla","ardilla",6,6.86349206349067,-7.90989965041595,5.71,4.48,9.78571428571429,1.5,4.89
"3097","Spanish (Mexican)","produces","star",24,33,44,0.428571428571429,"nouns","outside","estrella","estrella",7,5.2800000000012,-8.04524099828571,7.47,5.5,17.6969696969697,3.636363636,4.69
"3098","Spanish (Mexican)","produces","stop",24,24,53,0.311688311688312,"verbs","action_words","parar(se)","parar(se)",6,NA,NA,4.73,4.14,15.59375,2.777777778,3.68
"3099","Spanish (Mexican)","produces","store",24,42,35,0.545454545454545,"other","outside","tienda/mercado","tienda/mercado",6.5,8.38461538461699,-8.60939605865455,5.94,3.43,9.5531914893617,3.75,4.5
